ID,Name,Position,PPRPoints,PPRADP,STDPoints,STDADP,STDSFADP,PPRSFADP,ByeWeek,Team
34,QB_JAllen,QB,376.7,23,376.7,23,1,1,7,BUF
36,QB_LJackson,QB,377.9,24,377.9,24,2,2,7,BAL
40,QB_JDaniels,QB,355.5,30,355.5,30,3,3,12,WAS
47,QB_JHurts,QB,356.6,41,356.6,41,4,4,9,PHI
50,QB_JBurrow,QB,343.6,36,343.6,36,5,5,10,CIN
77,QB_PMahomes,QB,325,59,325,59,6,7,10,KC
1,WR_JChase,WR,352,1,231.2,1,7,6,10,CIN
4,RB_BRobinson,RB,317.6,2,260.4,2,8,8,5,ATL
2,RB_SBarkley,RB,314.3,1,273.1,3,9,22,9,PHI
85,QB_BMayfield,QB,321.5,74,321.5,74,10,11,9,TB
3,WR_JJefferson,WR,309.8,5,204.2,5,11,9,6,MIN
6,RB_JGibbs,RB,315.2,4,258.8,4,12,13,8,DET
5,WR_CLamb,WR,304.3,6,192.8,6,13,10,10,DAL
92,QB_BNix,QB,308.6,81,308.6,81,14,12,12,DEN
91,QB_KMurray,QB,318.9,90,318.9,90,15,14,8,ARI
14,RB_DHenry,RB,266.3,11,249.6,12,16,39,7,BAL
9,WR_NCollins,WR,273.7,14,182.5,13,17,18,6,HOU
106,QB_BPurdy,QB,309.8,113,309.8,113,18,19,14,SF
8,WR_PNacua,WR,293.4,9,187.7,7,19,16,8,LAR
97,QB_JFields,QB,300.3,118,300.3,118,20,20,9,NYJ
7,WR_MNabers,WR,287.3,10,181.2,8,21,15,14,NYG
12,WR_BThomasJr,WR,271.5,15,180.7,14,23,22,8,JAC
124,QB_DPrescott,QB,289.9,107,289.9,107,23,23,10,DAL
10,RB_AJeanty,RB,261.4,12,216.7,10,24,31,8,LV
118,QB_JHerbert,QB,288.5,112,288.5,112,25,24,12,LAC
98,QB_CWilliams,QB,287.4,103,287.4,103,26,27,5,CHI
11,WR_AStBrown,WR,291.2,7,180.8,9,27,17,8,DET
13,RB_CMcCaffery,RB,291.7,8,228.4,11,28,25,14,SF
108,QB_JGoff,QB,293.1,97,293.1,97,29,28,8,DET
20,RB_JTaylor,RB,240.6,20,215.3,21,31,48,11,IND
122,QB_DMaye,QB,270.7,127,270.7,127,31,30,14,NE
17,WR_ABrown,WR,255.3,17,171.6,20,32,33,9,MIA
18,RB_DAchane,RB,289.8,13,220.5,15,33,30,12,PHI
16,WR_DLondon,WR,260.1,20,165.9,19,34,25,5,ATL
25,RB_JJacobs,RB,260.5,16,223,18,34,47,5,GB
127,QB_JLove,QB,278.6,129,278.6,129,36,35,5,GB
46,TE_GKittle,TE,223.6,37,147.6,41,37,49,14,SF
15,TE_BBowers,TE,253.7,18,148.3,16,38,31,8,LV
23,RB_BIrving,RB,247.1,21,202.7,17,39,46,9,TB
19,WR_LMcConkey,WR,259.2,25,167.5,25,40,34,12,LAC
31,RB_KWilliams,RB,248.6,24,210.5,26,41,52,8,LAR
133,QB_TLawrence,QB,272.3,143,272.3,143,42,42,8,JAC
22,WR_THiggins,WR,247.7,29,161.1,33,43,41,10,ARI
130,QB_CStroud,QB,278.2,130,278.2,130,44,44,6,HOU
37,RB_CBrown,RB,250.3,27,196.2,22,45,43,10,CIN
35,WR_MEvans,WR,244.3,42,165.2,43,46,51,9,TB
21,TE_TMcBride,TE,244,26,139.6,27,47,37,8,CIN
27,WR_THill,WR,254.2,28,162.1,28,48,40,12,MIA
32,WR_DAdams,WR,241.4,40,156.5,40,50,46,8,NYJ
132,QB_JMcCarthy,QB,290.5,132,290.5,132,50,50,6,MIN
41,RB_JCook,RB,228.1,31,196.7,32,51,62,7,BUF
26,WR_JSmithNjigba,WR,246.5,33,151.5,31,52,36,8,SEA
24,WR_GWilson,WR,232.6,35,141.3,34,54,38,9,NYJ
38,RB_BHall,RB,236.6,32,187.1,29,54,56,9,NYJ
28,WR_MHarrison,WR,234.3,43,154.7,39,55,53,8,ARI
29,WR_TMcLaurin,WR,242.2,41,159.4,38,56,55,12,WAS
54,RB_KWalker,RB,222.9,41,179.4,44,57,59,8,SEA
43,RB_OHampton,RB,219.8,44,175.6,35,58,64,12,LAC
56,RB_CHubbard,RB,213.6,45,173.6,45,59,68,14,CAR
146,QB_TTagovailoa,QB,260.4,151,260.4,151,60,60,12,MIA
49,WR_DMetcalf,WR,227.4,49,151.8,50,61,59,5,SEA
60,RB_AKamara,RB,238.4,38,176.2,37,62,57,11,NO
68,RB_JConner,RB,227.1,46,185.1,32,63,72,8,ARI
45,WR_JWilliams,WR,200.5,59,141.3,62,64,76,8,DET
154,QB_MStafford,QB,264.4,163,264.4,163,65,70,8,LAR
33,WR_DMoore,WR,229.4,47,142.7,46,66,54,5,CHI
152,QB_BYoung,QB,257.3,162,257.3,162,67,65,14,CAR
138,QB_MPenixJr,QB,262.5,160,262.5,160,68,66,5,ATL
51,WR_CSutton,WR,221,53,144.3,49,69,61,12,DEN
48,WR_ZFlowers,WR,220.2,58,145.6,61,70,69,7,BAL
70,RB_DMontgomery,RB,195.8,57,165,57,71,81,8,DET
39,WR_XWorthy,WR,214.3,56,144,58,72,74,10,KC
42,WR_DSmith,WR,217.7,54,137.5,52,73,63,9,PHI
158,QB_GSmith,QB,261.3,171,261.3,171,73,75,8,SEA
65,WR_GPickens,WR,200.9,67,134,66,75,77,10,DAL
102,RB_DSwift,RB,204.4,54,167,60,76,80,5,CHI
62,WR_CRidley,WR,210.1,70,140.6,71,77,79,10,TEN
69,TE_SLaporta,TE,184.3,50,116.2,54,78,87,8,DET
59,RB_THenderson,RB,183.5,59,151.6,53,79,86,14,NE
58,WR_JWaddle,WR,201,72,126.1,75,80,71,12,MIA
30,WR_RRice,WR,188.8,48,117.3,47,81,67,10,KC
156,QB_CWard,QB,255.1,164,255.1,164,81,82,10,TEN
44,WR_TMcMilan,WR,187.8,68,118.3,56,83,73,14,CAR
99,RB_RHarvey,RB,167.8,63,135,51,83,90,12,DEN
100,RB_IPacheco,RB,179.4,68,145.1,63,85,92,10,KC
80,RB_AJones,RB,207.3,65,163.7,64,86,89,6,MIN
81,RB_TPollard,RB,193,72,154.7,70,87,93,10,TEN
103,TE_MAndrews,TE,176.4,75,116.7,85,88,107,7,BAL
52,RB_JMixon,RB,204.6,51,164.6,55,89,99,6,HOU
75,RB_KJohnson,RB,176,71,150.1,67,90,100,5,PIT
172,QB_SDarnold,QB,260.5,176,260.5,176,90,87,8,SEA
104,RB_BRobinsonJr,RB,174.6,79,149.2,80,92,102,12,WAS
53,WR_THunter,WR,189,65,120.7,68,93,88,8,JAC
63,WR_COlave,WR,190.2,78,115.9,73,95,78,11,NO
82,TE_THockenson,TE,181.8,61,106.6,65,95,83,6,MIN
57,WR_ROdunze,WR,184.8,81,119.2,81,97,96,5,CHI
216,QB_ARodgers,QB,236.8,178,236.8,178,97,97,17,PIT
66,WR_JJeudy,WR,214,76,132.9,72,98,85,9,CLE
61,WR_JAddison,WR,179.5,80,118.2,76,100,105,6,MIN
93,RB_TTracy,RB,175.9,88,139.4,78,100,111,14,NYG
74,WR_JReed,WR,184.8,104,125.8,98,101,114,5,GB
96,TE_TKelce,TE,186.5,62,105.8,69,102,91,10,KC
67,WR_DSamuel,WR,195.4,86,130.7,83,103,112,12,WAS
71,WR_RPearsall,WR,172.7,100,114.6,99,104,110,14,SF
90,RB_JWarren,RB,166.4,89,120.9,84,105,107,11,PIT
107,RB_JMason,RB,127.6,115,112.3,104,106,124,6,MIN
131,TE_TKraft,TE,145.1,111,90.7,117,107,117,5,GB
64,WR_JJennings,WR,198.8,94,128.1,95,108,108,14,SF
123,TE_DNjoku,TE,178.1,85,101.2,101,109,102,9,CLE
73,WR_JMeyers,WR,209,90,127.5,92,110,95,8,LV
55,WR_CGodwin,WR,199.5,77,123,77,111,98,9,TB
121,RB_TEtienneJr,RB,149.7,95,109.1,88,112,116,8,JAC
111,TE_EEngram,TE,152.5,82,83.4,87,113,101,12,DEN
79,WR_SDiggs,WR,192.3,87,115,90,114,94,14,NE
135,RB_JWilliams,RB,157.2,97,120.1,96,115,120,10,DAL
110,RB_RStevenson,RB,140.7,105,113.1,105,116,122,14,NE
84,RB_NHarris,RB,135.2,107,116.2,98,117,132,12,LAC
76,WR_KShakir,WR,181.4,93,109.9,91,119,104,7,BUF
137,RB_TBigsby,RB,121.2,136,100.4,121,119,140,8,JAC
174,RB_JDobbins,RB,158,114,125.1,119,120,138,17,NON
117,TE_TWarren,TE,147.7,107,89.3,108,121,130,11,IND
101,RB_CSkattebo,RB,124.2,91,100.6,93,122,129,14,NYG
109,RB_ZCharbonnet,RB,139.9,118,107.1,102,123,123,8,SEA
87,WR_JDowns,WR,163.7,122,99.9,113,124,109,11,IND
72,RB_QJudkins,RB,143.3,92,108.2,79,125,141,9,CLE
167,QB_ARichardson,QB,208.3,180,208.3,180,126,118,11,IND
134,RB_TSpears,RB,133.3,128,100.6,106,127,127,10,TEN
136,TE_DKincaid,TE,140.6,129,83.6,128,128,127,7,BUF
88,WR_EEgbuka,WR,148.7,120,96.8,116,129,120,9,TB
207,QB_RWilson,QB,197.6,201,197.6,201,129,128,14,NYG
144,TE_DGoedert,TE,143,133,85.8,137,131,133,9,phi
89,WR_DMooney,WR,172.2,125,112.2,120,132,126,5,ATL
83,WR_BAiyuk,WR,153.2,118,101.3,109,133,131,14,SF
86,WR_CKupp,WR,186.4,84,113.3,86,134,115,8,SEA
105,WR_MPittmanJr,WR,179.3,123,107.3,115,135,113,11,IND
116,WR_KColeman,WR,170.6,121,118.3,125,136,139,7,BUF
150,RB_RWhite,RB,147.7,126,102,124,136,134,9,TB
147,TE_KPitts,TE,130.5,138,83,140,138,156,5,ATL
149,RB_RDavis,RB,98.4,169,85.9,139,139,149,7,BUF
78,WR_MGolden,WR,179.3,96,118.7,94,140,134,5,GB
114,WR_RShaheed,WR,170.3,149,113.8,145,141,138,11,NO
126,TE_CLoveland,TE,127.6,108,75.5,114,142,141,5,CHI
113,WR_RBateman,WR,147.2,170,101.8,166,144,146,7,BAL
141,RB_TBenson,RB,105.6,155,91.8,142,144,160,8,ARI
160,RB_TAllgeier,RB,95.8,157,83.1,148,145,157,5,ATL
165,RB_AEkeler,RB,100.1,134,111.6,131,147,143,12,WAS
140,RB_IGuerendo,RB,94.5,147,82.9,133,148,158,14,SF
95,TE_JSmith,TE,124.9,112,74.6,110,149,149,12,PIT
112,WR_CKirk,WR,141,164,87.7,147,150,137,6,HOU
171,RB_JFord,RB,127.9,158,90.9,134,150,148,9,CLE
119,WR_MMimsJr,WR,157.6,152,106.5,136,152,151,12,DEN
208,RB_NChubb,RB,122.6,148,82.6,146,152,173,17,NON
162,RB_RDowdle,RB,100.4,206,81,141,153,161,14,CAR
178,RB_JWright,RB,116.3,183,73.3,159,155,172,12,MIA
94,WR_LBurden,WR,128.9,156,81.1,144,156,143,5,CHI
166,RB_BAllen,RB,98.3,180,70.1,154,156,162,9,NYJ
182,TE_HHenry,TE,133.9,167,78.5,152,157,148,14,NE
163,RB_JBlue,RB,98,137,79.8,126,159,166,10,DAL
157,WR_CTillman,WR,145,197,90.1,174,160,145,9,CLE
120,WR_THarris,WR,129.6,142,83.4,135,161,153,12,LAC
139,TE_ILikely,TE,117.9,168,76.7,158,162,185,7,BAL
129,WR_MBrown,WR,147.5,161,92.5,150,163,152,10,KC
148,WR_RDoubs,WR,125.9,199,81.4,188,164,154,5,GB
218,RB_RJohnson,RB,96.7,204,78.7,175,165,177,5,CHI
125,RB_BTuten,RB,96.9,154,71.7,138,166,174,8,JAC
143,WR_QJohnston,WR,133.8,190,88.4,183,168,169,12,lac
170,TE_ZErtz,TE,140.3,150,83,156,168,160,12,WAS
128,WR_JMcMillan,WR,113.5,189,75.3,165,169,171,9,TB
226,QB_DJones,QB,108.4,225,108.4,225,170,171,11,IND
164,RB_DSampson,RB,115.4,174,85.9,153,171,175,9,CLE
115,WR_JHiggins,WR,133.8,141,86.1,123,172,160,6,HOU
189,RB_BCorum,RB,91.8,225,61.2,195,172,182,8,LAR
151,WR_AThielen,WR,150,176,89,182,173,156,14,CAR
145,WR_KWilliams,WR,116.4,181,74.4,157,174,166,8,NE
153,WR_XLegette,WR,139.6,179,86,172,176,168,14,CAR
195,RB_MLloyd,RB,111.5,229,76.5,198,177,190,5,GB
188,WR_DHopkins,WR,96.4,207,64.6,167,178,180,7,BAL
161,WR_JPalmer,WR,120.7,226,78.7,191,180,179,7,BUF
